来源,所属区域,文章标题,发布日期,详情链接
SolarQuarter,南亚,Top Stories Of The Day: PowerHive Launches VION Battery; India Solar Capacity Hits 136 GW and More…,2026-03-12,https://solarquarter.com/2026/03/12/top-stories-of-the-day-powerhive-launches-vion-battery-india-solar-capacity-hits-136-gw-and-more/
SolarQuarter,南亚,"Tata Power Partners With Salesforce To Launch A Fully Integrated AI-Driven Digital Ecosystem For Rooftop Solar, EV Charging And Smart Energy Solutions Across India",2026-03-12,https://solarquarter.com/2026/03/12/tata-power-partners-with-salesforce-to-launch-a-fully-integrated-ai-driven-digital-ecosystem-for-rooftop-solar-ev-charging-and-smart-energy-solutions-across-india/
SolarQuarter,全球/其他,Hartek Commissions Agrivoltaic Open Access Solar Project In Punjab,2026-03-12,https://solarquarter.com/2026/03/12/hartek-commissions-agrivoltaic-open-access-solar-project-in-punjab/
SolarQuarter,南欧,"Zelestra Begins Full Commercial Operations At The Villamañán Solar Project, A 19 MWdc Facility In León, Strengthening Clean Energy Capacity In Spain",2026-03-12,https://solarquarter.com/2026/03/12/zelestra-begins-full-commercial-operations-at-the-villamanan-solar-project-a-19-mwdc-facility-in-leon-strengthening-clean-energy-capacity-in-spain/
SolarQuarter,全球/其他,Montenegro Advances Its Green Transition With the Signing Of The Contract To Connect The SE “Tupan” Solar Power Plant To The National Grid In Montenegro,2026-03-12,https://solarquarter.com/2026/03/12/montenegro-advances-its-green-transition-with-the-signing-of-the-contract-to-connect-the-se-tupan-solar-power-plant-to-the-national-grid-in-montenegro/
SolarQuarter,大洋洲,"Foresight Group Agrees To Acquire NZ Clean Energy, Marking Its First Entry Into New Zealand’s Clean Energy Market",2026-03-12,https://solarquarter.com/2026/03/12/foresight-group-agrees-to-acquire-nz-clean-energy-marking-its-first-entry-into-new-zealands-clean-energy-market/
SolarQuarter,全球/其他,PepsiCo Invests £3.6 Million in 3.56 MW Rooftop Solar Project at Leicester Distribution Centre,2026-03-12,https://solarquarter.com/2026/03/12/pepsico-invests-3-6-million-in-3-56-mw-rooftop-solar-project-at-leicester-distribution-centre/
SolarQuarter,全球/其他,European Commission Launches Citizens Energy Package And Clean Energy Investment Strategy To Make Power Cheaper and Speed Up the Green Transition,2026-03-12,https://solarquarter.com/2026/03/12/european-commission-launches-citizens-energy-package-and-clean-energy-investment-strategy-to-make-power-cheaper-and-speed-up-the-green-transition/
SolarQuarter,大洋洲,"Chris Minns Launches Construction Of The Blind Creek Solar Farm And Battery Project In Bungendore, Marking A Major Step In Australia’s Clean Energy Transition",2026-03-12,https://solarquarter.com/2026/03/12/chris-minns-launches-construction-of-the-blind-creek-solar-farm-and-battery-project-in-bungendore-marking-a-major-step-in-australias-clean-energy-transition/
SolarQuarter,全球/其他,"SolarPower Europe Reports That Public Energy Auctions And Corporate PPAs Delivered 92 GW Of Solar In The EU Between 2022 And 2025, Supplying 28 Million Households",2026-03-12,https://solarquarter.com/2026/03/12/solarpower-europe-reports-that-public-energy-auctions-and-corporate-ppas-delivered-92-gw-of-solar-in-the-eu-between-2022-and-2025-supplying-28-million-households/
SolarQuarter,全球/其他,Nofar Energy Subsidiary Completes Acquisition of 1 GW Solar Portfolio from Pine Gate Renewables,2026-03-12,https://solarquarter.com/2026/03/12/nofar-energy-subsidiary-completes-acquisition-of-1-gw-solar-portfolio-from-pine-gate-renewables/
SolarQuarter,全球/其他,Sunview Group Plans Acquisition Of JSNT Renewables’ 50-MW Solar Plant To Expand Power Generation Portfolio,2026-03-12,https://solarquarter.com/2026/03/12/sunview-group-plans-acquisition-of-jsnt-renewables-50-mw-solar-plant-to-expand-power-generation-portfolio/
SolarQuarter,全球/其他,First Solar Contractors Meet in Dehradun Brings Together Uttarakhand’s Solar Industry Leaders,2026-03-12,https://solarquarter.com/2026/03/12/first-solar-contractors-meet-in-dehradun-brings-together-uttarakhands-solar-industry-leaders/
SolarQuarter,跨区域,DGTR Recommends Continuing Countervailing Duties On Malaysian Solar Glass Imports To Protect The Indian Industry,2026-03-12,https://solarquarter.com/2026/03/12/dgtr-recommends-continuing-countervailing-duties-on-malaysian-solar-glass-imports-to-protect-the-indian-industry/
SolarQuarter,东南亚,Metfone Expands Into Solar Energy With New Residential And SME Solutions In Cambodia,2026-03-12,https://solarquarter.com/2026/03/12/metfone-expands-into-solar-energy-with-new-residential-and-sme-solutions-in-cambodia/
SolarQuarter,北非及中东,Morocco Launches 305 MW Noor Atlas Solar Programme To Accelerate Renewable Energy Expansion,2026-03-12,https://solarquarter.com/2026/03/12/morocco-launches-305-mw-noor-atlas-solar-programme-to-accelerate-renewable-energy-expansion/
SolarQuarter,全球/其他,Rockefeller Foundation Commits $10 Million To Accelerate Clean Energy Projects Across Africa,2026-03-12,https://solarquarter.com/2026/03/12/rockefeller-foundation-commits-10-million-to-accelerate-clean-energy-projects-across-africa/
SolarQuarter,全球/其他,Vikram Solar’s PowerHive Launches ‘VION’ Lithium Battery Brand for Home Backup and Electric Mobility,2026-03-12,https://solarquarter.com/2026/03/12/vikram-solars-powerhive-launches-vion-lithium-battery-brand-for-home-backup-and-electric-mobility/
SolarQuarter,北非及中东,Tunisia Launches First Competitive Tender For Battery Energy Storage To Strengthen Renewable Energy Integration,2026-03-12,https://solarquarter.com/2026/03/12/tunisia-launches-first-competitive-tender-for-battery-energy-storage-to-strengthen-renewable-energy-integration/
SolarQuarter,南亚,"India’s Solar Capacity Reaches 136 GW, Says Pralhad Joshi as International Solar Alliance Expands Global Partnership",2026-03-12,https://solarquarter.com/2026/03/12/indias-solar-capacity-reaches-136-gw-says-pralhad-joshi-as-international-solar-alliance-expands-global-partnership/
SolarQuarter,全球/其他,Haryana Identifies 122 MW Rooftop Solar Potential Across Government Buildings,2026-03-12,https://solarquarter.com/2026/03/12/haryana-identifies-122-mw-rooftop-solar-potential-across-government-buildings/
