来源,所属区域,文章标题,发布日期,详情链接,抓取日期
Electrive,全球/其他,The Mobility House to offer free electricity for V2G customers,2026-04-15,https://www.electrive.com/2026/04/15/the-mobility-house-to-offer-free-electricity-for-v2g-customers/,2026-04-16
Electrive,西欧,Aurora powers Stagecoach depot electrification across UK,2026-04-15,https://www.electrive.com/2026/04/15/aurora-powers-stagecoach-depot-electrification-across-uk/,2026-04-16
Electrive,全球/其他,Ionna takes over high-speed chargers at Circle K sites in the US,2026-04-15,https://www.electrive.com/2026/04/15/ionna-takes-over-high-speed-chargers-at-circle-k-sites-in-the-us/,2026-04-16
PowerTechnology,南亚,"Adani launches 1GW HVDC link in Mumbai, India",2026-04-15,https://www.power-technology.com/news/adani-launches-1gw-hvdc-link-mumbai/,2026-04-16
PowerTechnology,全球/其他,RWE completes installation of two substations at Nordseecluster A,2026-04-15,https://www.power-technology.com/news/rwe-installation-substations-nordseecluster-a/,2026-04-16
PowerTechnology,北非及中东,New episode: How have global oil supply chains shifted around the Iran conflict?,2026-04-15,https://www.power-technology.com/news/global-oil-supply-chains-iran-conflict-3/,2026-04-16
PowerTechnology,全球/其他,"Evolve Energy, Shell sign Race Bank wind PPA through 2035",2026-04-15,https://www.power-technology.com/news/evolve-shell-sign-race-bank-ppa/,2026-04-16
PowerTechnology,全球/其他,Explosion at Vedanta’s Chhattisgarh power plant claims 14 lives,2026-04-15,https://www.power-technology.com/news/explosion-vedantas-chhattisgarh-power-plant/,2026-04-16
EnergyStorageNews,全球/其他,"Rye Development advances 2,128MWh pumped hydro project at former Kentucky coal mine",2026-04-15,https://www.energy-storage.news/rye-development-advances-2128mwh-pumped-hydro-project-at-former-kentucky-coal-mine/,2026-04-16
EnergyStorageNews,全球/其他,"VIDEO – Energy Storage Summit 2026: Battery recycling, lifecycle data and sustainability",2026-04-15,https://www.energy-storage.news/video-energy-storage-summit-2026-battery-recycling-lifecycle-data-and-sustainability/,2026-04-16
EnergyStorageNews,北欧,"British Gas owner Centrica activates 40MW BESS projects in Sweden, subsidiary to optimise",2026-04-15,https://www.energy-storage.news/british-gas-owner-centrica-activates-40mw-bess-projects-in-sweden-subsidiary-to-optimise/,2026-04-16
EnergyStorageNews,大洋洲,Fortescue fast-tracks ‘world’s largest off-grid system’ with 4-5GWh battery storage in Australia,2026-04-15,https://www.energy-storage.news/fortescue-fast-tracks-worlds-largest-off-grid-system-with-4-5gwh-battery-storage-in-australia/,2026-04-16
EnergyStorageNews,大洋洲,UGL advances construction on 2.1GWh of battery storage for Neoen across two Australian states,2026-04-15,https://www.energy-storage.news/ugl-advances-construction-on-2-1gwh-of-battery-storage-for-neoen-across-two-australian-states/,2026-04-16
PVMagazine,西欧,RWE drops 99.9 MW solar project in Wales on grid constraints,2026-04-15,https://www.pv-magazine.com/2026/04/15/rwe-drops-99-9-mw-solar-project-in-wales-on-grid-constraints/,2026-04-16
PVMagazine,全球/其他,"Span and Nvidia to develop AI data centers in your backyard, lowering electric bills",2026-04-15,https://www.pv-magazine.com/2026/04/15/span-and-nvidia-to-develop-ai-data-centers-in-your-backyard-lowering-electric-bills/,2026-04-16
PVMagazine,全球/其他,Silver demand from PV industry expected to drop 19% this year,2026-04-15,https://www.pv-magazine.com/2026/04/15/silver-demand-from-pv-industry-expected-to-drop-19-this-year/,2026-04-16
PVMagazine,全球/其他,European power grid investment set to rise sharply by 2027,2026-04-15,https://www.pv-magazine.com/2026/04/15/european-grid-investment-to-nearly-double-by-2027-says-acer/,2026-04-16
PVMagazine,西非,Togo opens solar minigrid tender,2026-04-15,https://www.pv-magazine.com/2026/04/15/togo-opens-solar-minigrid-tender/,2026-04-16
PVMagazine,全球/其他,Varta launches all-in-one residential inverter and modular battery,2026-04-15,https://www.pv-magazine.com/2026/04/15/varta-launches-all-in-one-residential-inverter-and-modular-battery/,2026-04-16
PVMagazine,西欧,"France, Germany set daily solar records for April",2026-04-15,https://www.pv-magazine.com/2026/04/15/france-germany-set-daily-solar-records-for-april/,2026-04-16
PVMagazine,全球/其他,Porous silica-based anti-reflective coating increases PV glass optical transmission by 5.2%,2026-04-15,https://www.pv-magazine.com/2026/04/15/porous-silica-based-anti-reflective-coating-increases-pv-glass-optical-transmission-by-5-2/,2026-04-16
PVMagazine,全球/其他,Cyber threats for PV: What are credential compromise attacks and how do they work,2026-04-15,https://www.pv-magazine.com/2026/04/15/cyber-threats-for-pv-what-are-credential-compromise-attacks-and-how-do-they-work/,2026-04-16
PVMagazine,全球/其他,Free midday electricity key to drive consumer demand to match excess PV generation,2026-04-15,https://www.pv-magazine.com/2026/04/15/free-midday-electricity-key-to-drive-consumer-demand-to-match-excess-pv-generation/,2026-04-16
PVMagazine,全球/其他,Mova unveils all-in-one plug-in solar and storage solutions,2026-04-15,https://www.pv-magazine.com/2026/04/15/mova-unveils-all-in-one-plug-in-solar-and-storage-solutions/,2026-04-16
PVMagazine,北非及中东,Tunisia launches 200 MW call for PV projects under new licensing scheme,2026-04-15,https://www.pv-magazine.com/2026/04/15/tunisia-launches-200-mw-call-for-pv-projects-under-new-licensing-scheme/,2026-04-16
PVMagazine,西欧,Vertical bifacial PV outperforms tilted PV systems in the UK,2026-04-15,https://www.pv-magazine.com/2026/04/15/vertical-bifacial-pv-outperforms-tilted-pv-systems-in-the-uk/,2026-04-16
PVMagazine,全球/其他,Vaillant launches space-saving residential heat pump,2026-04-15,https://www.pv-magazine.com/2026/04/15/vaillant-launches-space-saving-residential-heat-pump/,2026-04-16
PVMagazine,大洋洲,Australian developer moves ahead with modular green hydrogen production plant,2026-04-15,https://www.pv-magazine.com/2026/04/15/australian-developer-moves-ahead-with-modular-green-hydrogen-production-plant/,2026-04-16
PVMagazine,全球/其他,Suniva to build 4.5 GW solar cell factory in South Carolina,2026-04-15,https://www.pv-magazine.com/2026/04/15/suniva-to-build-4-5-gw-solar-cell-factory-in-south-carolina/,2026-04-16
PVTech,南欧,Iberdrola reaches 400MW in Italy with acquisition of Lazio solar plant,2026-04-15,https://www.pv-tech.org/iberdrola-reaches-400mw-in-italy-with-acquisition-of-lazio-solar-plant/,2026-04-16
PVTech,全球/其他,Virginia passes law to add 625MW of new community solar capacity by 2028,2026-04-15,https://www.pv-tech.org/virginia-add-625mw-community-solar-capacity-2028/,2026-04-16
PVTech,南欧,How Sonnedix secured capacity in Italy’s ‘crucial’ FER X auction,2026-04-15,https://www.pv-tech.org/how-sonnedix-secured-capacity-italys-crucial-fer-x-auction/,2026-04-16
PVTech,全球/其他,"Tongwei and Daqo shares rally on polysilicon regulatory rumours, prices stay depressed",2026-04-15,https://www.pv-tech.org/tongwei-and-daqo-shares-rally-on-polysilicon-regulatory-rumours-prices-stay-depressed/,2026-04-16
PVTech,全球/其他,European solar must ‘embrace volatility’ (and energy storage),2026-04-15,https://www.pv-tech.org/european-solar-must-embrace-volatility-and-energy-storage/,2026-04-16
PVTech,全球/其他,"Jupiter, Ampin open 1.3GW solar cell and module facility in Odisha",2026-04-15,https://www.pv-tech.org/jupiter-ampin-open-1-3gw-solar-cell-and-module-facility-in-odisha/,2026-04-16
PVTech,全球/其他,Suniva boosts US cell production to 5.5GW with new facility,2026-04-15,https://www.pv-tech.org/suniva-boosts-us-cell-production-to-5-5gw-with-new-facility/,2026-04-16
PVTech,全球/其他,R.Power secures funds for 80MW Polish PV plant,2026-04-15,https://www.pv-tech.org/r-power-secures-funds-for-80mw-polish-pv-plant/,2026-04-16
EnergyCapitalPow,非洲南部,Azule Energy to Open Permanent Namibia Office in Mid-2026,2026-04-15,https://energycapitalpower.com/azule-energy-to-open-permanent-namibia-office-in-mid-2026/,2026-04-16
EnergyCapitalPow,全球/其他,AfDB Announces $20M Support for Early-Stage Green Hydrogen Projects,2026-04-15,https://energycapitalpower.com/afdb-announces-20m-support-for-early-stage-green-hydrogen-projects/,2026-04-16
EnergyCapitalPow,东非,Maurel & Prom’s New Mnazi Bay Find Strengthens Tanzania’s Gas Expansion Strategy,2026-04-15,https://energycapitalpower.com/maurel-proms-new-mnazi-bay-find-strengthens-tanzanias-gas-expansion-strategy/,2026-04-16
EnergyCapitalPow,非洲南部,Chevron Plans Nabba-1X Well in Namibia’s Orange Basin PEL 90 by Late 2026,2026-04-15,https://energycapitalpower.com/chevron-plans-nama-1x-well-in-namibias-orange-basin-pel-90-by-late-2026/,2026-04-16
