index,original_title,ref_region,ds_region,date
30,Japan’s 27th Solar Auction Awards 79 MW Capacity With Record-Low Bid Price,东亚,未归入任何区域,2026-03-16
55,Austria could harness 90 TWh of agrivoltaics using 5–16% of cropland,西欧,未归入任何区域,2026-03-16
89,Germany’s Grid-Connected Solar Capacity Rises to 106.2 GW in 2025,西欧,未归入任何区域,2026-03-16
116,P3C Technology and Solutions Launches Perovskite Validation Platform in India to Advance Next-Generation Solar Technology,南亚,未归入任何区域,2026-03-13
136,Becsa HJT Solar Modules and RR Kabel Pemium Insulation Solar Cables Join Hands to offer ‘Heat Tolerant’ Solar Hardware for Hot and Tough Indian Climates,南亚,未归入任何区域,2026-03-13
37,Starsight Secures $15 Million Funding from BII to Expand Clean Energy Solutions in West Africa,西非,未归入任何区域,2026-03-17
66,Icelandic utility commissions solar-plus-storage for EV charging,北欧,未归入任何区域,2026-03-17
5,Narendra Modi Highlights India’s Growing Power Ecosystem and Sustainable Energy Vision,南亚,未归入任何区域,2026-03-19
27,Battery storage projects win 1.8GW in UK capacity market auctions,西欧,未归入任何区域,2026-03-19
31,Solarium commissions 1 GW solar module plant in India,南亚,未归入任何区域,2026-03-19
33,Japanese firm GBP launches fencing for solar and BESS sites,东亚,未归入任何区域,2026-03-19
71,India’s Next Solar Leap: ALMM Expansion to Wafers and Ingots Effective June 2028 Signals Full Value Chain Integration,南亚,未归入任何区域,2026-03-18
76,Enfinity Global And Mitsubishi HC Capital Energy Partner To Boost Japan’s BESS Market Growth,东亚,未归入任何区域,2026-03-18
88,India: Ultraviolette partners with Bolt.Earth for e-2W & e-3W fast-charging network,南亚,未归入任何区域,2026-03-18
96,Zelestra signs renewable contracts totalling 1.5TWh in Italy,南欧,未归入任何区域,2026-03-18
99,Italy’s Terna approves 3GWh BESS; project progress elsewhere in Europe,南欧,未归入任何区域,2026-03-18
101,Japan publishes new guidelines for flexible solar cell installations,东亚,未归入任何区域,2026-03-18
103,India’s PV module manufacturing capacity tops 210 GW,南亚,未归入任何区域,2026-03-18
105,China’s new five-year plan deepens shift toward focus on renewables system,东亚,未归入任何区域,2026-03-18
107,Survey reveals PV systems in Germany outperform lifespan expectations,西欧,未归入任何区域,2026-03-18
110,French developer seeks approval for Australia’s largest solar BESS,大洋洲,未归入任何区域,2026-03-18
116,"India’s cumulative solar module capacity reaches 210GW, cell capacity hits 27GW  Mercom",南亚,未归入任何区域,2026-03-18
127,Two storage pathways for homes under Australia’s evolving battery incentive programs,大洋洲,未归入任何区域,2026-03-18
128,"Home battery rebate changes could mean “price difference of thousands of dollars,” regulator warns",北美,未归入任何区域,2026-03-18
134,"GridBeyond adds South Korea tech giant to growing list of backers, in $A20 million fundraising round",东亚,未归入任何区域,2026-03-18
138,India’s Non-Fossil Power Capacity Reaches 52.3% as of January 2026,南亚,未归入任何区域,2026-03-18
144,India Added 119 GW Solar Module and 9 GW Cell Capacity in 2025,南亚,未归入任何区域,2026-03-18
51,United States Faces Historic Power Demand Surge As Wood Mackenzie Highlights Grid Costs And Risks At The ACORE Policy Forum,北美,未归入任何区域,2026-03-19
63,"Japan sets FIT terms for small PV, rooftop solar as large-scale auctions end",东亚,未归入任何区域,2026-03-19
71,India extends solar manufacturing mandate to wafers and ingots,南亚,未归入任何区域,2026-03-19
18,"Iberdrola Hits Major Milestone With 11,000 MW Of Power Capacity In The United States, Now Able To Supply Over Seven Million People",北美,未归入任何区域,2026-03-20
71,"Goldbeck secures EPC contract for 722MW PV plant in Poland, Europe’s largest",东欧,未归入任何区域,2026-03-20
61,Greece receives 12.2 GW of merchant battery applications for 4.7 GW program,南欧,未归入任何区域,2026-03-20
118,Sineng Electric Supports Commissioning of Tanzania’s First Utility-Scale Grid-Connected Solar Power Station,东非,未归入任何区域,2026-03-19
12,Big and cheap gravity energy storage developed in South Africa - MyBroadband,非洲南部,未归入任何区域,2026-03-21
141,Renewables and Grid Upgrades Drive Djibouti’s Energy Expansion,东非,未归入任何区域,2026-03-19
61,Greece receives 12.2 GW of merchant battery applications for 4.7 GW program,南欧,未归入任何区域,2026-03-20
71,"Goldbeck secures EPC contract for 722MW PV plant in Poland, Europe’s largest",东欧,未归入任何区域,2026-03-20
118,Sineng Electric Supports Commissioning of Tanzania’s First Utility-Scale Grid-Connected Solar Power Station,东非,未归入任何区域,2026-03-19
12,Big and cheap gravity energy storage developed in South Africa - MyBroadband,非洲南部,未归入任何区域,2026-03-21
131,Zelestra Secures 1.5 TWh Renewable Energy Contracts Under Italy’s Energy Release 2.0,南欧,未归入任何区域,2026-03-19
141,Renewables and Grid Upgrades Drive Djibouti’s Energy Expansion,东非,未归入任何区域,2026-03-19
61,Greece receives 12.2 GW of merchant battery applications for 4.7 GW program,南欧,未归入任何区域,2026-03-20
71,"Goldbeck secures EPC contract for 722MW PV plant in Poland, Europe’s largest",东欧,未归入任何区域,2026-03-20
118,Sineng Electric Supports Commissioning of Tanzania’s First Utility-Scale Grid-Connected Solar Power Station,东非,未归入任何区域,2026-03-19
12,Big and cheap gravity energy storage developed in South Africa - MyBroadband,非洲南部,未归入任何区域,2026-03-21
141,Renewables and Grid Upgrades Drive Djibouti’s Energy Expansion,东非,未归入任何区域,2026-03-19
61,Greece receives 12.2 GW of merchant battery applications for 4.7 GW program,南欧,未归入任何区域,2026-03-20
71,"Goldbeck secures EPC contract for 722MW PV plant in Poland, Europe’s largest",东欧,未归入任何区域,2026-03-20
61,Greece receives 12.2 GW of merchant battery applications for 4.7 GW program,南欧,未归入任何区域,2026-03-20
71,"Goldbeck secures EPC contract for 722MW PV plant in Poland, Europe’s largest",东欧,未归入任何区域,2026-03-20
120,Sineng Electric Supports Commissioning of Tanzania’s First Utility-Scale Grid-Connected Solar Power Station,东非,未归入任何区域,2026-03-19
63,Greece receives 12.2 GW of merchant battery applications for 4.7 GW program,南欧,未归入任何区域,2026-03-20
73,"Goldbeck secures EPC contract for 722MW PV plant in Poland, Europe’s largest",东欧,未归入任何区域,2026-03-20
63,Greece receives 12.2 GW of merchant battery applications for 4.7 GW program,南欧,未归入任何区域,2026-03-20
73,"Goldbeck secures EPC contract for 722MW PV plant in Poland, Europe’s largest",东欧,未归入任何区域,2026-03-20
63,Greece receives 12.2 GW of merchant battery applications for 4.7 GW program,南欧,未归入任何区域,2026-03-20
73,"Goldbeck secures EPC contract for 722MW PV plant in Poland, Europe’s largest",东欧,未归入任何区域,2026-03-20
63,Greece receives 12.2 GW of merchant battery applications for 4.7 GW program,南欧,未归入任何区域,2026-03-20
73,"Goldbeck secures EPC contract for 722MW PV plant in Poland, Europe’s largest",东欧,未归入任何区域,2026-03-20
60,Greece receives 12.2 GW of merchant battery applications for 4.7 GW program,南欧,未归入任何区域,2026-03-20
69,"Goldbeck secures EPC contract for 722MW PV plant in Poland, Europe’s largest",东欧,未归入任何区域,2026-03-20
34,Egypt Signs 5.6 GW Renewable and Battery Storage Deals to Boost Clean Power Capacity,北非及中东,未归入任何区域,2026-03-30
8,Morocco Introduces New Decree To Regulate Self-Generation Of Electricity And Strengthen Grid Stability,北非及中东,未归入任何区域,2026-03-30
166,Jinko Solar Powers Industrial Sustainability with 17.5 MWp Solar Project in Egypt,北非及中东,未归入任何区域,2026-03-27
